"Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","n_images"
"SLC 118","Markhor",2021-12-14 17:02:12,2021-12-14,"17:02:12",240770,4012.8,66.9,2.8,"Data-21-22/SLC 118/Markhor","IMG_0019.AVI",10
"SLC 118","Markhor",2021-12-14 17:36:52,2021-12-14,"17:36:52",2080,34.7,0.6,0,"Data-21-22/SLC 118/Markhor","IMG_0029.AVI",3
"SLC 118","Markhor",2021-12-14 18:09:00,2021-12-14,"18:09:00",1928,32.1,0.5,0,"Data-21-22/SLC 118/Markhor","IMG_0032.AVI",2
"SLC 118","Markhor",2021-12-17 02:42:42,2021-12-17,"02:42:42",203622,3393.7,56.6,2.4,"Data-21-22/SLC 118/Markhor","IMG_0034.AVI",1
"SLC 118","Markhor",2021-12-31 21:45:58,2021-12-31,"21:45:58",1278196,21303.3,355.1,14.8,"Data-21-22/SLC 118/Markhor","IMG_0036.AVI",2
"SLC 118","Markhor",2022-01-04 01:33:22,2022-01-04,"01:33:22",272844,4547.4,75.8,3.2,"Data-21-22/SLC 118/Markhor","IMG_0038.AVI",1
"SLC 118","Markhor",2022-01-04 03:24:40,2022-01-04,"03:24:40",6678,111.3,1.9,0.1,"Data-21-22/SLC 118/Markhor","IMG_0043.AVI",2
"SLC 118","Markhor",2022-01-04 18:49:16,2022-01-04,"18:49:16",55476,924.6,15.4,0.6,"Data-21-22/SLC 118/Markhor","IMG_0045.AVI",1
"SLC 118","Markhor",2022-01-05 20:04:24,2022-01-05,"20:04:24",90908,1515.1,25.3,1.1,"Data-21-22/SLC 118/Markhor","IMG_0046.AVI",2
"SLC 118","Markhor",2022-01-20 22:26:16,2022-01-20,"22:26:16",1304512,21741.9,362.4,15.1,"Data-21-22/SLC 118/Markhor","IMG_0051.AVI",1
"SLC 118","Markhor",2022-02-02 21:06:38,2022-02-02,"21:06:38",1118422,18640.4,310.7,12.9,"Data-21-22/SLC 118/Markhor","IMG_0052.AVI",1
"SLC 118","Markhor",2022-02-18 19:45:56,2022-02-18,"19:45:56",1377558,22959.3,382.7,15.9,"Data-21-22/SLC 118/Markhor","IMG_0056.AVI",1
"SLC 118","Other",2021-11-27 21:57:42,2021-11-27,"21:57:42",0,0,0,0,"Data-21-22/SLC 118/Other","IMG_0013.AVI",1
"SLC 118","Snow Leopard",2021-11-23 13:07:38,2021-11-23,"13:07:38",0,0,0,0,"Data-21-22/SLC 118/Snow Leopard","IMG_0010.AVI",1
"SLC 118","Snow Leopard",2021-12-23 12:42:08,2021-12-23,"12:42:08",2590470,43174.5,719.6,30,"Data-21-22/SLC 118/Snow Leopard","IMG_0035.AVI",1
"SLC 118 Krabathang","Fox",2022-04-04 10:49:24,2022-04-04,"10:49:24",0,0,0,0,"Data-21-22/SLC 118 Krabathang/Fox","IMG_0020.AVI",2
"SLC 118 Krabathang","Ibex",2022-03-11 18:59:46,2022-03-11,"18:59:46",0,0,0,0,"Data-21-22/SLC 118 Krabathang/Ibex","IMG_0008.AVI",1
"SLC 118 Krabathang","Ibex",2022-03-24 04:03:26,2022-03-24,"04:03:26",1069420,17823.7,297.1,12.4,"Data-21-22/SLC 118 Krabathang/Ibex","IMG_0013.AVI",3
"SLC 118 Krabathang","Ibex",2022-04-10 09:54:56,2022-04-10,"09:54:56",1489890,24831.5,413.9,17.2,"Data-21-22/SLC 118 Krabathang/Ibex","IMG_0022.AVI",2
"SLC 118 Krabathang","Ibex",2022-04-17 18:05:24,2022-04-17,"18:05:24",634228,10570.5,176.2,7.3,"Data-21-22/SLC 118 Krabathang/Ibex","IMG_0024.AVI",1
"SLC 118 Krabathang","Other",2022-03-10 18:30:58,2022-03-10,"18:30:58",0,0,0,0,"Data-21-22/SLC 118 Krabathang/Other","IMG_0007.AVI",1
"SLC 118 Krabathang","Other",2022-03-17 03:06:08,2022-03-17,"03:06:08",549310,9155.2,152.6,6.4,"Data-21-22/SLC 118 Krabathang/Other","IMG_0010.AVI",1
"SLC 118 Krabathang","Other",2022-03-24 23:40:36,2022-03-24,"23:40:36",678868,11314.5,188.6,7.9,"Data-21-22/SLC 118 Krabathang/Other","IMG_0016.AVI",1
"SLC 118 Krabathang","Other",2022-03-26 18:03:38,2022-03-26,"18:03:38",152582,2543,42.4,1.8,"Data-21-22/SLC 118 Krabathang/Other","IMG_0017.AVI",1
"SLC 118 Krabathang","Snow Leopard",2022-03-19 21:56:36,2022-03-19,"21:56:36",0,0,0,0,"Data-21-22/SLC 118 Krabathang/Snow Leopard","IMG_0011.AVI",2
