"","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","n_images"
"88","SLC 118-Krabathang-Khalngfafpa","Ibex","2022-04-10 09:54:56","2022-04-10","09:54:56",1489890,24831.5,413.9,17.2,"Data-21-22/SLC 118-Krabathang-Khalngfafpa/Ibex","IMG_0022.AVI",2
"89","SLC 118-Krabathang-Khalngfafpa","Ibex","2022-04-17 18:05:24","2022-04-17","18:05:24",634228,10570.5,176.2,7.3,"Data-21-22/SLC 118-Krabathang-Khalngfafpa/Ibex","IMG_0024.AVI",1
"104","SLC 120-Sultanabad-Ganichi Nallah","Ibex","2022-01-10 13:15:32","2022-01-10","13:15:32",0,0,0,0,"Data-21-22/SLC 120-Sultanabad-Ganichi Nallah/Ibex","IMG_0026.AVI",1
"120","SLC 121-Skoyo-Sachilim","Markhor","2022-04-14 23:20:02","2022-04-14","23:20:02",0,0,0,0,"Data-21-22/SLC 121-Skoyo-Sachilim/Markhor","IMG_0020.AVI",3
"136","SLC 123-Skoyo-Khat","Ibex","2021-12-18 01:46:22","2021-12-18","01:46:22",0,0,0,0,"Data-21-22/SLC 123-Skoyo-Khat/Ibex","12180121.JPG",2
"137","SLC 123-Skoyo-Khat","Ibex","2021-12-23 16:18:30","2021-12-23","16:18:30",484328,8072.1,134.5,5.6,"Data-21-22/SLC 123-Skoyo-Khat/Ibex","12230142.JPG",2
"154","SLC 124-Skoyo-Chodress","Markhor","2015-01-19 10:58:22","2015-01-19","10:58:22",0,0,0,0,"Data-21-22/SLC 124-Skoyo-Chodress/Markhor","01190031.AVI",2
"172","SLC 124-Skoyo-Chodress-B","Ibex","2022-02-12 06:00:46","2022-02-12","06:00:46",0,0,0,0,"Data-21-22/SLC 124-Skoyo-Chodress-B/Ibex","02120007.AVI",2
"202","SLC 140-Krabathang-Chotok katpa","Ibex","2022-04-03 02:02:30","2022-04-03","02:02:30",0,0,0,0,"Data-21-22/SLC 140-Krabathang-Chotok katpa/Ibex","IMG_0018.AVI",1
"203","SLC 140-Krabathang-Chotok katpa","Ibex","2022-04-08 17:33:24","2022-04-08","17:33:24",487854,8130.9,135.5,5.6,"Data-21-22/SLC 140-Krabathang-Chotok katpa/Ibex","IMG_0021.AVI",2
"204","SLC 140-Krabathang-Chotok katpa","Ibex","2022-04-19 06:14:48","2022-04-19","06:14:48",909684,15161.4,252.7,10.5,"Data-21-22/SLC 140-Krabathang-Chotok katpa/Ibex","IMG_0027.AVI",1
"214","SLC 140-Krabathang-Rabalum","Ibex","2021-11-21 02:16:10","2021-11-21","02:16:10",0,0,0,0,"Data-21-22/SLC 140-Krabathang-Rabalum/Ibex","IMG_0006.AVI",1
"215","SLC 140-Krabathang-Rabalum","Ibex","2021-11-24 13:34:56","2021-11-24","13:34:56",299926,4998.8,83.3,3.5,"Data-21-22/SLC 140-Krabathang-Rabalum/Ibex","IMG_0010.AVI",3
"216","SLC 140-Krabathang-Rabalum","Ibex","2021-12-18 03:18:40","2021-12-18","03:18:40",2036624,33943.7,565.7,23.6,"Data-21-22/SLC 140-Krabathang-Rabalum/Ibex","IMG_0022.AVI",1
"217","SLC 140-Krabathang-Rabalum","Ibex","2021-12-21 20:35:26","2021-12-21","20:35:26",321406,5356.8,89.3,3.7,"Data-21-22/SLC 140-Krabathang-Rabalum/Ibex","IMG_0024.AVI",1
"218","SLC 140-Krabathang-Rabalum","Ibex","2022-02-07 00:02:24","2022-02-07","00:02:24",4073218,67887,1131.4,47.1,"Data-21-22/SLC 140-Krabathang-Rabalum/Ibex","IMG_0032.AVI",1
"219","SLC 140-Krabathang-Rabalum","Markhor","2021-11-25 14:32:58","2021-11-25","14:32:58",0,0,0,0,"Data-21-22/SLC 140-Krabathang-Rabalum/Markhor","IMG_0014.AVI",1
"220","SLC 140-Krabathang-Rabalum","Markhor","2021-11-27 14:25:38","2021-11-27","14:25:38",172360,2872.7,47.9,2,"Data-21-22/SLC 140-Krabathang-Rabalum/Markhor","IMG_0015.AVI",1
"221","SLC 140-Krabathang-Rabalum","Markhor","2021-12-08 18:41:00","2021-12-08","18:41:00",965722,16095.4,268.3,11.2,"Data-21-22/SLC 140-Krabathang-Rabalum/Markhor","IMG_0019.AVI",1
"222","SLC 140-Krabathang-Rabalum","Markhor","2021-12-18 03:17:00","2021-12-18","03:17:00",808560,13476,224.6,9.4,"Data-21-22/SLC 140-Krabathang-Rabalum/Markhor","IMG_0021.AVI",2
"223","SLC 140-Krabathang-Rabalum","Markhor","2021-12-21 21:41:24","2021-12-21","21:41:24",325464,5424.4,90.4,3.8,"Data-21-22/SLC 140-Krabathang-Rabalum/Markhor","IMG_0025.AVI",1
"234","SLC 199-Skoyo-Rabsa-B","Markhor","2015-02-26 15:35:58","2015-02-26","15:35:58",0,0,0,0,"Data-21-22/SLC 199-Skoyo-Rabsa-B/Markhor","02270104.AVI",1
"240","SLC 204-Krabathang-Moni Baho","Ibex","2022-01-11 14:16:36","2022-01-11","14:16:36",0,0,0,0,"Data-21-22/SLC 204-Krabathang-Moni Baho/Ibex","01120010.AVI",4
"241","SLC 204-Krabathang-Moni Baho","Ibex","2022-01-13 15:39:18","2022-01-13","15:39:18",177762,2962.7,49.4,2.1,"Data-21-22/SLC 204-Krabathang-Moni Baho/Ibex","01140019.AVI",1
"242","SLC 204-Krabathang-Moni Baho","Markhor","2022-01-11 14:12:44","2022-01-11","14:12:44",0,0,0,0,"Data-21-22/SLC 204-Krabathang-Moni Baho/Markhor","01120008.AVI",4
"243","SLC 204-Krabathang-Moni Baho","Markhor","2022-01-14 17:35:20","2022-01-14","17:35:20",271356,4522.6,75.4,3.1,"Data-21-22/SLC 204-Krabathang-Moni Baho/Markhor","01150021.AVI",1
"250","SLC 205-Krabathang-Barbenchan","Ibex","2022-01-05 09:27:54","2022-01-05","09:27:54",0,0,0,0,"Data-21-22/SLC 205-Krabathang-Barbenchan/Ibex","01050012.AVI",2
"251","SLC 205-Krabathang-Barbenchan","Ibex","2022-02-12 09:35:56","2022-02-12","09:35:56",3283682,54728,912.1,38,"Data-21-22/SLC 205-Krabathang-Barbenchan/Ibex","02120016.AVI",1
"252","SLC 205-Krabathang-Barbenchan","Ibex","2022-02-12 14:11:34","2022-02-12","14:11:34",16538,275.6,4.6,0.2,"Data-21-22/SLC 205-Krabathang-Barbenchan/Ibex","02130017.AVI",1
"283","SLC 206-Krabathang-Khalngfafpa","Ibex","2022-01-30 09:52:34","2022-01-30","09:52:34",0,0,0,0,"Data-21-22/SLC 206-Krabathang-Khalngfafpa/Ibex","01300006.AVI",1
"284","SLC 206-Krabathang-Khalngfafpa","Ibex","2022-02-17 13:44:24","2022-02-17","13:44:24",1569110,26151.8,435.9,18.2,"Data-21-22/SLC 206-Krabathang-Khalngfafpa/Ibex","02180008.AVI",1
"285","SLC 206-Krabathang-Khalngfafpa","Markhor","2021-12-26 09:03:08","2021-12-26","09:03:08",0,0,0,0,"Data-21-22/SLC 206-Krabathang-Khalngfafpa/Markhor","12260005.AVI",1
"319","TWLF 21-Krabathang-Shamlishan","Markhor","2021-12-13 16:39:46","2021-12-13","16:39:46",0,0,0,0,"Data-21-22/TWLF 21-Krabathang-Shamlishan/Markhor","12140064.MP4",1
"320","TWLF 21-Krabathang-Shamlishan","Markhor","2021-12-22 16:19:10","2021-12-22","16:19:10",776364,12939.4,215.7,9,"Data-21-22/TWLF 21-Krabathang-Shamlishan/Markhor","12230065.MP4",1
"392","TWLF 23-Skoyo-Chikas","Ibex","2022-04-08 17:15:16","2022-04-08","17:15:16",0,0,0,0,"Data-21-22/TWLF 23-Skoyo-Chikas/Ibex","04090132.MP4",1
